"","sp","lon","lat"
"796","Brachycephalus_ephippium",-44.585085,-22.437138
"797","Brachycephalus_ephippium",-46.88,-23.180278
"799","Brachycephalus_ephippium",-43.07323,-22.495143
"800","Brachycephalus_ephippium",-46.65,-23.41667
"802","Brachycephalus_ephippium",-42.48333,-20.7667
"803","Brachycephalus_ephippium",-46.188056,-23.523056
"804","Brachycephalus_ephippium",-46.816667,-22.866667
"805","Brachycephalus_ephippium",-43.407529,-22.561563
"806","Brachycephalus_ephippium",-44.7167,-23.05417
"807","Brachycephalus_ephippium",-44.677904,-23.018135
"809","Brachycephalus_ephippium",-43.18444,-22.51083
"810","Brachycephalus_ephippium",-45.183331,-22.6
"811","Brachycephalus_ephippium",-44.675,-22.3884
"812","Brachycephalus_ephippium",-44.446667,-22.469167
"813","Brachycephalus_ephippium",-44.03,-22.81
"814","Brachycephalus_ephippium",-44.03333,-22.81455
"815","Brachycephalus_ephippium",-43.216671,-22.950001
"816","Brachycephalus_ephippium",-43.185287,-22.92606
"817","Brachycephalus_ephippium",-43.271044,-22.949395
"818","Brachycephalus_ephippium",-43.5,-22.91
"819","Brachycephalus_ephippium",-43.449881,-22.921177
"820","Brachycephalus_ephippium",-43.2075,-22.903056
"823","Brachycephalus_ephippium",-46.323527,-23.775724
"824","Brachycephalus_ephippium",-45.883924,-23.166944
"825","Brachycephalus_ephippium",-46.648336,-23.650062
"826","Brachycephalus_ephippium",-42.84901,-22.31807
"827","Brachycephalus_ephippium",-42.965556,-22.412222
"853","Ceratophrys_aurita",-42.010364,-22.820487
"854","Ceratophrys_aurita",-38.990323,-12.510447
"855","Ceratophrys_aurita",-48.66042,-25.790478
"857","Ceratophrys_aurita",-46.920403,-24.220479
"858","Ceratophrys_aurita",-48.680421,-26.080479
"859","Ceratophrys_aurita",-39.870341,-19.450478
"860","Ceratophrys_aurita",-40.070342,-19.380478
"861","Ceratophrys_aurita",-39.80034,-19.290478
"863","Ceratophrys_aurita",-39.380334,-17.870472
"864","Ceratophrys_aurita",-44.080371,-19.51047
"865","Ceratophrys_aurita",-47.140404,-24.090478
"866","Ceratophrys_aurita",-39.290331,-16.480466
"867","Ceratophrys_aurita",-43.200373,-22.930484
"868","Ceratophrys_aurita",-43.450356,-14.190449
"869","Ceratophrys_aurita",-38.60032,-12.680448
"870","Ceratophrys_aurita",-46.720401,-23.820479
"871","Ceratophrys_aurita",-46.6904,-23.710478
"872","Ceratophrys_aurita",-43.020371,-22.450483
"873","Ceratophrys_aurita",-49.130424,-25.950477
"874","Ceratophrys_aurita",-44.860386,-23.300482
"875","Ceratophrys_cornuta",-55.94,-9.6
"876","Ceratophrys_cornuta",-55.47779,-4.61834
"877","Ceratophrys_cornuta",-71.565,-4.523333
"878","Ceratophrys_cornuta",-48.459264,-1.240215
"879","Ceratophrys_cornuta",-72.67,-7.63111
"880","Ceratophrys_cornuta",-73.253611,-8.280833
"881","Ceratophrys_cornuta",-64.641251,-10.917744
"882","Ceratophrys_cornuta",-56.55,-4.666667
"883","Ceratophrys_cornuta",-56.769225,-4.380311
"884","Ceratophrys_cornuta",-65.333333,-7.998056
"885","Ceratophrys_cornuta",-66.33,-7.48
"886","Ceratophrys_cornuta",-60.02528,-2.20899
"887","Ceratophrys_cornuta",-73.608333,-7.450556
"888","Ceratophrys_cornuta",-50.020435,-5.630469
"889","Ceratophrys_cornuta",-72.56,-8.93
"890","Ceratophrys_cornuta",-72.679444,-9.343056
"891","Ceratophrys_cornuta",-51.103715,-1.606793
"892","Ceratophrys_cornuta",-64.41111,-10.567491
"893","Ceratophrys_cornuta",-48.371819,-5.927295
"894","Ceratophrys_cornuta",-53.7,-14.51667
"895","Ceratophrys_cornuta",-50.954983,-2.564307
"896","Ceratophrys_cornuta",-72.776944,-8.258611
"897","Ceratophrys_cornuta",-48.250079,-1.193793
"898","Ceratophrys_cornuta",-51.772431,-4.174148
"899","Ceratophrys_cornuta",-51.861111,-2.951111
"900","Ceratophrys_cornuta",-51.972091,-3.13819
"915","Chiasmocleis_albopunctata",-49.3975,-17.024167
"916","Chiasmocleis_albopunctata",-48.7516,-20.6372
"917","Chiasmocleis_albopunctata",-49.06,-22.31
"918","Chiasmocleis_albopunctata",-48.5405,-20.885
"919","Chiasmocleis_albopunctata",-48.4894,-22.8919
"920","Chiasmocleis_albopunctata",-48.439722,-22.88
"921","Chiasmocleis_albopunctata",-47.9297,-15.7797
"922","Chiasmocleis_albopunctata",-48.119722,-22.280278
"924","Chiasmocleis_albopunctata",-57.6789,-16.0706
"925","Chiasmocleis_albopunctata",-55.537404,-15.107168
"926","Chiasmocleis_albopunctata",-55.7497,-15.4606
"927","Chiasmocleis_albopunctata",-55.4167,-23.2167
"928","Chiasmocleis_albopunctata",-49.65,-22.21
"929","Chiasmocleis_albopunctata",-43.806501,-22.854805
"930","Chiasmocleis_albopunctata",-43.775278,-22.852222
"932","Chiasmocleis_albopunctata",-45.312859,-14.847226
"933","Chiasmocleis_albopunctata",-49.937,-20.74
"934","Chiasmocleis_albopunctata",-48.3658,-21.6033
"935","Chiasmocleis_albopunctata",-49.244,-20.5507
